datetime,date,doy,time,distance,transect,lai_masked,sel
2008-08-17T19:23:18,8/17/08,230,19:23:18,50,195,4.21,0.06
2008-08-17T19:26:48,8/17/08,230,19:26:48,100,195,4.13,0.15
2008-08-17T19:29:14,8/17/08,230,19:29:14,150,195,4.02,0.03
2008-08-17T19:31:25,8/17/08,230,19:31:25,200,195,5.11,0.25
2008-08-17T19:41:39,8/17/08,230,19:41:39,50,225,4.07,0.06
2008-08-17T19:39:19,8/17/08,230,19:39:19,100,225,4.4,0.2
2008-08-17T19:37:06,8/17/08,230,19:37:06,150,225,4.27,0.03
2008-08-17T19:34:31,8/17/08,230,19:34:31,200,225,3.8,0.06
2008-08-17T19:44:58,8/17/08,230,19:44:58,50,255,4.46,0.13
2008-08-17T19:48:01,8/17/08,230,19:48:01,100,255,4.01,0.06
2008-08-17T19:50:59,8/17/08,230,19:50:59,150,255,4.61,0.08
2009-08-17T19:23:18,8/17/09,229,19:23:18,50,195,4.73,0.1
2009-08-17T19:26:48,8/17/09,229,19:26:48,100,195,4.74,0.17
2009-08-17T19:29:14,8/17/09,229,19:29:14,150,195,4.54,0.02
2009-08-17T19:31:25,8/17/09,229,19:31:25,200,195,5.81,0.32
2009-08-17T19:41:39,8/17/09,229,19:41:39,50,225,4.46,0.09
2009-08-17T19:39:19,8/17/09,229,19:39:19,100,225,4.96,0.25
2009-08-17T19:37:06,8/17/09,229,19:37:06,150,225,4.78,0.03
2009-08-17T19:34:31,8/17/09,229,19:34:31,200,225,4.25,0.09
2009-08-17T19:44:58,8/17/09,229,19:44:58,50,255,5.19,0.13
2009-08-17T19:48:01,8/17/09,229,19:48:01,100,255,4.74,0.08
2009-08-17T19:50:59,8/17/09,229,19:50:59,150,255,5.42,0.04
2012-05-02T11:41:57,5/2/12,123,11:41:57,50,195,3.34,0.07
2012-05-02T11:43:52,5/2/12,123,11:43:52,100,195,3.98,0.02
2012-05-02T11:45:39,5/2/12,123,11:45:39,150,195,3.24,0.04
